dataset,host,mode,seed,readout,metric,score,selected_epoch,updates
circor,patchtst,native,123,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.3314413286713287,118,200000
circor,patchtst,native,42,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.2806312128216,65,200000
circor,patchtst,native,7,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.3670149772734908,30,200000
circor,patchtst,trd,123,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.5541866479635932,120,200000
circor,patchtst,trd,42,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.5234349780347589,120,200000
circor,patchtst,trd,7,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.5134999580934436,120,200000
circor,patchtst,native,123,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.41171842814214055,111,200000
circor,patchtst,native,42,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.3897756975377136,111,200000
circor,patchtst,native,7,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.4474877115710374,110,200000
circor,patchtst,trd,123,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.5623723004094311,117,200000
circor,patchtst,trd,42,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.5657456142351394,117,200000
circor,patchtst,trd,7,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.5478059817889849,111,200000
circor,patchtst,native,123,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.46242700376713197,87,200000
circor,patchtst,native,42,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.4876246300078529,101,200000
circor,patchtst,native,7,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.5211375460622117,119,200000
circor,patchtst,trd,123,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.7454446522522612,48,200000
circor,patchtst,trd,42,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.7545395755425048,65,200000
circor,patchtst,trd,7,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.7483813342604837,87,200000
circor,patchtst,native,123,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.537787317701605,109,200000
circor,patchtst,native,42,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.5471879220335432,111,200000
circor,patchtst,native,7,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.5871248876078887,115,200000
circor,patchtst,trd,123,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.8048012853596243,80,200000
circor,patchtst,trd,42,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.8008599470280483,85,200000
circor,patchtst,trd,7,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.7994234268302085,97,200000
circor,pmt,native,123,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.39236208572431996,118,200000
circor,pmt,native,42,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.38368642041807766,120,200000
circor,pmt,native,7,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.4132918505812584,120,200000
circor,pmt,trd,123,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.9051124171882858,86,200000
circor,pmt,trd,42,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.8823578447637845,118,200000
circor,pmt,trd,7,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.8990159904394466,91,200000
circor,pmt,native,123,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.4456518767527088,118,200000
circor,pmt,native,42,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.4436407849783979,117,200000
circor,pmt,native,7,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.46101500998027944,117,200000
circor,pmt,trd,123,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.9265737190639469,112,200000
circor,pmt,trd,42,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.9198026979730207,117,200000
circor,pmt,trd,7,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.9235183452608697,110,200000
circor,pmt,native,123,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.6217891031781604,97,200000
circor,pmt,native,42,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.634357607420466,113,200000
circor,pmt,native,7,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.6267816670909414,116,200000
circor,pmt,trd,123,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.9496145982296886,15,200000
circor,pmt,trd,42,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.930822888426437,14,200000
circor,pmt,trd,7,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.9412164459810043,15,200000
circor,pmt,native,123,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.6775294313429088,97,200000
circor,pmt,native,42,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.6679398739710404,66,200000
circor,pmt,native,7,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.6760967079535345,116,200000
circor,pmt,trd,123,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.9549206814873017,8,200000
circor,pmt,trd,42,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.9541607849477746,7,200000
circor,pmt,trd,7,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.9541722584024971,6,200000
circor,ts2vec,native,123,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.5379413990971672,120,200000
circor,ts2vec,native,42,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.5222755172586755,120,200000
circor,ts2vec,native,7,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.5025782931332938,120,200000
circor,ts2vec,trd,123,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.8921172640288895,109,200000
circor,ts2vec,trd,42,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.8745421083636468,91,200000
circor,ts2vec,trd,7,linear_lp0.01,typed_event_macro_f1_at_0.05s,0.8780624589996635,97,200000
circor,ts2vec,native,123,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.589571182967824,115,200000
circor,ts2vec,native,42,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.576487425457608,119,200000
circor,ts2vec,native,7,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.5614712427520376,120,200000
circor,ts2vec,trd,123,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.9198479272997726,115,200000
circor,ts2vec,trd,42,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.9119100728172508,120,200000
circor,ts2vec,trd,7,linear_lp0.05,typed_event_macro_f1_at_0.05s,0.9115835390423951,110,200000
circor,ts2vec,native,123,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.7913673337373811,16,200000
circor,ts2vec,native,42,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.7731445082723246,19,200000
circor,ts2vec,native,7,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.7573826838842007,15,200000
circor,ts2vec,trd,123,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.9280267853828197,24,200000
circor,ts2vec,trd,42,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.9298785948706252,23,200000
circor,ts2vec,trd,7,temporal_lp0.01,typed_event_macro_f1_at_0.05s,0.9239404157226219,24,200000
circor,ts2vec,native,123,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.8371458933008938,11,200000
circor,ts2vec,native,42,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.8299570348033388,8,200000
circor,ts2vec,native,7,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.8117236305083658,10,200000
circor,ts2vec,trd,123,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.9523634007329619,15,200000
circor,ts2vec,trd,42,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.9517062415914913,15,200000
circor,ts2vec,trd,7,temporal_lp0.05,typed_event_macro_f1_at_0.05s,0.9508102348491867,15,200000
openpack,patchtst,native,123,linear_min1,operation_macro_f1,0.3047580429585732,120,200000
openpack,patchtst,native,42,linear_min1,operation_macro_f1,0.32510912058677244,120,200000
